Instrument,Company,CurrencyCode,ISIN,MinTradedQty,MarketName,MarketH
1COV,Covestro AG,EUR,DE0006062144,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
1SI,Snap Inc.,EUR,US83304A1060,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
2AAP,Leverage Shares 2x Apple ETP,GBX,IE00BF03XJ35,1,London Stock Exchange,7:01 am to 3:30 pm
2AMD,Leverage Shares 2x Advanced Micro Devices ETP,GBX,IE00BKT6ZG93,1,London Stock Exchange,7:01 am to 3:30 pm
2AME,Leverage Shares 2x Advanced Micro Devices ETP,EUR,IE00BKT6ZG93,1,London Stock Exchange,7:01 am to 3:30 pm
2AMZ,Leverage Shares 2x Amazon ETP,GBX,IE00BF03XH11,0.01,London Stock Exchange,7:01 am to 3:30 pm
2B7K,iShares MSCI World SRI EUR UCITS ETF EUR (Acc),EUR,IE00BYX2JD69,0.2,Deutsche Börse Xetra,7:00 am to 3:30 pm
2BAB,Leverage Shares 2x Alibaba ETP,GBX,IE00BK5C1C97,1,London Stock Exchange,7:01 am to 3:30 pm
2BAE,Leverage Shares 2x Alibaba ETP,EUR,IE00BK5C1C97,1,London Stock Exchange,7:01 am to 3:30 pm
2CIT,Leverage Shares 2x Citigroup ETP,GBX,IE00BF03XL56,1,London Stock Exchange,7:01 am to 3:30 pm
2CRM,Leverage Shares 2x Salesforce ETP,GBX,IE00BD09ZY63,1,London Stock Exchange,7:01 am to 3:30 pm
2FB,Leverage Shares 2x Facebook ETP,GBX,IE00BF03XP94,1,London Stock Exchange,7:01 am to 3:30 pm
2GOO,Leverage Shares 2x Alphabet ETP,GBX,IE00BF01VY89,1,London Stock Exchange,7:01 am to 3:30 pm
2GS,Leverage Shares 2x Goldman Sachs ETP,GBX,IE00BF03XR19,1,London Stock Exchange,7:01 am to 3:30 pm
2JPM,Leverage Shares 2x JPMorgan Chase & Co. ETP,GBX,IE00BF03XW61,1,London Stock Exchange,7:01 am to 3:30 pm
2MSF,Leverage Shares 2x Microsoft Corporation ETP,GBX,IE00BF03XY85,1,London Stock Exchange,7:01 am to 3:30 pm
2MU,Leverage Shares 2x Micron Technology ETP,GBX,IE00BKT66K01,1,London Stock Exchange,7:01 am to 3:30 pm
2MUE,Leverage Shares 2x Micron Technology ETP,EUR,IE00BKT66K01,1,London Stock Exchange,7:01 am to 3:30 pm
2NFL,Leverage Shares 2x Netflix ETP,GBX,IE00BD09ZW40,1,London Stock Exchange,7:01 am to 3:30 pm
2NVD,Leverage Shares 2x Nvidia ETP,GBX,IE00BD09ZX56,1,London Stock Exchange,7:01 am to 3:30 pm
2TSE,Leverage Shares 2x Tesla ETP,EUR,IE00BK5BZY66,1,London Stock Exchange,7:01 am to 3:30 pm
2TSL,Leverage Shares 2x Tesla ETP,GBX,IE00BK5BZY66,1,London Stock Exchange,7:01 am to 3:30 pm
2TWE,Leverage Shares 2x Twitter ETP,EUR,IE00BKT66J95,1,London Stock Exchange,7:01 am to 3:30 pm
2TWT,Leverage Shares 2x Twitter ETP,GBX,IE00BKT66J95,1,London Stock Exchange,7:01 am to 3:30 pm
2UBE,Leverage Shares 2x Uber ETP,EUR,IE00BKT66L18,1,London Stock Exchange,7:01 am to 3:30 pm
2UBR,Leverage Shares 2x Uber ETP,GBX,IE00BKT66L18,1,London Stock Exchange,7:01 am to 3:30 pm
2VIS,Leverage Shares 2x Visa ETP,GBX,IE00BD09ZV33,1,London Stock Exchange,7:01 am to 3:30 pm
36B3,iShares MSCI Europe SRI UCITS ETF EUR (Dist),EUR,IE00BGDPWW94,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
36BZ,iShares MSCI China A UCITS ETF USD (Acc),EUR,IE00BQT3WG13,0.1,Deutsche Börse Xetra,7:00 am to 3:30 pm
3AAP,Leverage Shares 3x Apple ETP,GBX,IE00BK5BZS07,1,London Stock Exchange,7:01 am to 3:30 pm
3AME,Leverage Shares 3x Amazon ETP,EUR,IE00BK5BZQ82,1,London Stock Exchange,7:01 am to 3:30 pm
3AMZ,Leverage Shares 3x Amazon ETP,GBX,IE00BK5BZQ82,1,London Stock Exchange,7:01 am to 3:30 pm
3APE,Leverage Shares 3x Apple ETP,EUR,IE00BK5BZS07,1,London Stock Exchange,7:01 am to 3:30 pm
3CRE,Leverage Shares 3x Salesforce ETP,EUR,IE00BK5BZT14,1,London Stock Exchange,7:01 am to 3:30 pm
3CRM,Leverage Shares 3x Salesforce ETP,GBX,IE00BK5BZT14,1,London Stock Exchange,7:01 am to 3:30 pm
3FB,Leverage Shares 3x Facebook ETP,GBX,IE00BK5C1B80,1,London Stock Exchange,7:01 am to 3:30 pm
3FBE,Leverage Shares 3x Facebook ETP,EUR,IE00BK5C1B80,1,London Stock Exchange,7:01 am to 3:30 pm
3GOE,Leverage Shares 3x Alphabet ETP,EUR,IE00BK5BZX59,1,London Stock Exchange,7:01 am to 3:30 pm
3GOO,Leverage Shares 3x Alphabet ETP,GBX,IE00BK5BZX59,1,London Stock Exchange,7:01 am to 3:30 pm
3IN,3i Infrastructure PLC,GBX,JE00BF5FX167,0.1,London Stock Exchange,7:01 am to 3:30 pm
3LAL,GraniteShares 3x Long Alphabet Daily ETP,USD,XS2193968307,1,London Stock Exchange,7:01 am to 3:30 pm
3LAP,GraniteShares 3x Long Apple Daily ETP,USD,XS2193969883,1,London Stock Exchange,7:01 am to 3:30 pm
3LAZ,GraniteShares 3x Long AstraZeneca Daily ETP,GBX,XS2066793287,1,London Stock Exchange,7:01 am to 3:30 pm
3LBA,GraniteShares 3x Long BAE Systems Daily ETP,GBX,XS2066799995,1,London Stock Exchange,7:01 am to 3:30 pm
3LBC,GraniteShares 3x Long Barclays Daily ETP,GBX,XS2066849923,1,London Stock Exchange,7:01 am to 3:30 pm
3LBP,GraniteShares 3x Long BP Daily ETP,GBX,XS2066792396,1,London Stock Exchange,7:01 am to 3:30 pm
3LDO,GraniteShares 3x Long Diageo Daily ETP,GBX,XS2066793790,1,London Stock Exchange,7:01 am to 3:30 pm
3LFB,GraniteShares 3x Long Facebook Daily ETP,USD,XS2193971350,1,London Stock Exchange,7:01 am to 3:30 pm
3LGL,GraniteShares 3x Long Glencore Daily ETP,GBX,XS2066789251,1,London Stock Exchange,7:01 am to 3:30 pm
3LLL,GraniteShares 3x Long Lloyds Banking Group Daily ETP,GBX,XS2066792982,1,London Stock Exchange,7:01 am to 3:30 pm
3LMS,GraniteShares 3x Long Microsoft Daily ETP,USD,XS2193970204,1,London Stock Exchange,7:01 am to 3:30 pm
3LNF,GraniteShares 3x Long Netflix Daily ETP,USD,XS2193970543,1,London Stock Exchange,7:01 am to 3:30 pm
3LNV,GraniteShares 3x Long NVIDIA Daily ETP,USD,XS2193971947,1,London Stock Exchange,7:01 am to 3:30 pm
3LRD,GraniteShares 3x Long Royal Dutch Shell Daily ETP,GBX,XS2066850343,1,London Stock Exchange,7:01 am to 3:30 pm
3LRI,GraniteShares 3x Long Rio Tinto Daily ETP,GBX,XS2066849501,1,London Stock Exchange,7:01 am to 3:30 pm
3LRR,GraniteShares 3x Long Rolls-Royce Daily ETP,GBX,XS2066850772,1,London Stock Exchange,7:01 am to 3:30 pm
3LTS,GraniteShares 3x Long Tesla Daily ETP,USD,XS2193972598,1,London Stock Exchange,7:01 am to 3:30 pm
3LUB,GraniteShares 3x Long UBER Daily ETP,USD,XS2193972838,1,London Stock Exchange,7:01 am to 3:30 pm
3LVO,GraniteShares 3x Long Vodafone Daily ETP,GBX,XS2009195566,1,London Stock Exchange,7:01 am to 3:30 pm
3LZN,GraniteShares 3x Long Amazon Daily ETP,USD,XS2193969537,1,London Stock Exchange,7:01 am to 3:30 pm
3MSE,Leverage Shares 3x Microsoft ETP,EUR,IE00BK5BZV36,1,London Stock Exchange,7:01 am to 3:30 pm
3MSF,Leverage Shares 3x Microsoft ETP,GBX,IE00BK5BZV36,1,London Stock Exchange,7:01 am to 3:30 pm
3NFE,Leverage Shares 3x Netflix ETP,EUR,IE00BK5BZW43,1,London Stock Exchange,7:01 am to 3:30 pm
3NFL,Leverage Shares 3x Netflix ETP,GBX,IE00BK5BZW43,1,London Stock Exchange,7:01 am to 3:30 pm
3NVD,Leverage Shares 3x Nvidia ETP,GBX,IE00BK5BZR99,1,London Stock Exchange,7:01 am to 3:30 pm
3NVE,Leverage Shares 3x Nvidia ETP,EUR,IE00BK5BZR99,1,London Stock Exchange,7:01 am to 3:30 pm
3SAL,GraniteShares 3x Short Alphabet Daily ETP,USD,XS2193968729,1,London Stock Exchange,7:01 am to 3:30 pm
3SAP,GraniteShares 3x Short Apple Daily ETP,USD,XS2193970030,1,London Stock Exchange,7:01 am to 3:30 pm
3SAZ,GraniteShares 3x Short AstraZeneca Daily ETP,GBX,XS2066793444,1,London Stock Exchange,7:01 am to 3:30 pm
3SBA,GraniteShares 3x Short BAE Systems Daily ETP,GBX,XS2066849337,1,London Stock Exchange,7:01 am to 3:30 pm
3SBC,GraniteShares 3x Short Barclays Daily ETP,GBX,XS2066850004,1,London Stock Exchange,7:01 am to 3:30 pm
3SBP,GraniteShares 3x Short BP Daily ETP,GBX,XS2066792636,1,London Stock Exchange,7:01 am to 3:30 pm
3SDO,GraniteShares 3x Short Diageo Daily ETP,GBX,XS2066793873,1,London Stock Exchange,7:01 am to 3:30 pm
3SFB,GraniteShares 3x Short Facebook Daily ETP,USD,XS2193971517,1,London Stock Exchange,7:01 am to 3:30 pm
3SGL,GraniteShares 3x Short Glencore Daily ETP,GBX,XS2066789335,1,London Stock Exchange,7:01 am to 3:30 pm
3SLL,GraniteShares 3x Short Lloyds Banking Group Daily ETP,GBX,XS2066793014,1,London Stock Exchange,7:01 am to 3:30 pm
3SMS,GraniteShares 3x Short Microsoft Daily ETP,USD,XS2193970386,1,London Stock Exchange,7:01 am to 3:30 pm
3SNF,GraniteShares 3x Short Netflix Daily ETP,USD,XS2193970899,1,London Stock Exchange,7:01 am to 3:30 pm
3SNV,GraniteShares 3x Short NVIDIA Daily ETP,USD,XS2193972168,1,London Stock Exchange,7:01 am to 3:30 pm
3SRD,GraniteShares 3x Short Royal Dutch Shell Daily ETP,GBX,XS2066850699,1,London Stock Exchange,7:01 am to 3:30 pm
3SRI,GraniteShares 3x Short Rio Tinto Daily ETP,GBX,XS2066849766,1,London Stock Exchange,7:01 am to 3:30 pm
3SRR,GraniteShares 3x Short Rolls-Royce Daily ETP,GBX,XS2066850855,1,London Stock Exchange,7:01 am to 3:30 pm
3STS,GraniteShares 3x Short Tesla Daily ETP,USD,XS2193972671,1,London Stock Exchange,7:01 am to 3:30 pm
3SUB,GraniteShares 3x Short UBER Daily ETP,USD,XS2193973059,1,London Stock Exchange,7:01 am to 3:30 pm
3SVO,GraniteShares 3x Short Vodafone Daily ETP,GBX,XS2009195640,1,London Stock Exchange,7:01 am to 3:30 pm
3SZN,GraniteShares 3x Short Amazon Daily ETP,USD,XS2193969701,1,London Stock Exchange,7:01 am to 3:30 pm
4GLD,Xetra-Gold ETF,EUR,DE000A0S9GB0,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
6AQQ,AMUNDI NASDAQ-100 UCITS ETF - EUR,EUR,LU1681038243,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
888,888 Holdings PLC,GBX,GI000A0F6407,0.1,London Stock Exchange,7:01 am to 3:30 pm
A,Agilent Technologies Inc.,USD,US00846U1016,2,NYSE,1:30 pm to 8:00 pm
AA,AA PLC,GBX,GB00BMSKPJ95,1,London Stock Exchange,7:01 am to 3:30 pm
AA,Alcoa Inc.,USD,US0138721065,0.01,NYSE,1:30 pm to 8:00 pm
AAD,Amadeus Fire AG,EUR,DE0005093108,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
AAF,Airtel Africa PLC,GBX,GB00BKDRYJ47,1,London Stock Exchange,7:01 am to 3:30 pm
AAL,Anglo American PLC,GBX,GB00B1XZS820,0.01,London Stock Exchange,7:01 am to 3:30 pm
AAL,American Airlines Group Inc.,USD,US02376R1023,0.01,NASDAQ,1:30 pm to 8:00 pm
AALB,Aalberts Industries NV,EUR,NL0000852564,0.01,Euronext Netherlands,7:00 am to 3:30 pm
AAN,"Aaron's, Inc.",USD,US0025353006,0.01,NYSE,1:30 pm to 8:00 pm
AAOI,"Applied Optoelectronics, Inc.",USD,US03823U1025,2,NASDAQ,1:30 pm to 8:00 pm
AAP,"Advance Auto Parts, Inc.",USD,US00751Y1064,2,NYSE,1:30 pm to 8:00 pm
AAP2,Leverage Shares 2x Apple ETP,USD,IE00BF03XJ35,1,London Stock Exchange,7:01 am to 3:30 pm
AAP3,Leverage Shares 3x Apple ETP,USD,IE00BK5BZS07,1,London Stock Exchange,7:01 am to 3:30 pm
AAPE,Leverage Shares 2x Apple ETP,EUR,IE00BF03XJ35,1,London Stock Exchange,7:01 am to 3:30 pm
AAPL,Apple Inc.,USD,US0378331005,0.001,NASDAQ,1:30 pm to 8:00 pm
AAXN,"Axon Enterprise, Inc.",USD,US05464C1018,0.01,NASDAQ,1:30 pm to 8:00 pm
AB,AllianceBernstein Holding LP,USD,US01881G1067,1,NYSE,1:30 pm to 8:00 pm
ABBN,ABB Ltd,CHF,CH0012221716,0.01,SIX Swiss,7:00 am to 3:30 pm
ABBV,"AbbVie, Inc.",USD,US00287Y1091,0.01,NYSE,1:30 pm to 8:00 pm
ABC,AmerisourceBergen Corp.,USD,US03073E1055,2,NYSE,1:30 pm to 8:00 pm
ABC,Abcam plc,GBX,GB00B6774699,0.1,LSE AIM,7:01 am to 3:30 pm
ABCB,Ameris Bancorp,USD,US03076K1088,1,NASDAQ,1:30 pm to 8:00 pm
ABDP,AB Dynamics plc,GBX,GB00B9GQVG73,1,LSE AIM,7:00 am to 3:45 pm
ABEA,Alphabet Inc - Class A,EUR,US02079K3059,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
ABEC,Alphabet Inc. - Class C,EUR,US02079K1079,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
ABF,Associated British Foods PLC,GBX,GB0006731235,0.01,London Stock Exchange,7:01 am to 3:30 pm
ABMD,"ABIOMED, Inc.",USD,US0036541003,0.001,NASDAQ,1:30 pm to 8:00 pm
ABN,ABN AMRO Group NV,EUR,NL0011540547,0.1,Euronext Netherlands,7:00 am to 3:30 pm
ABT,Abbott Laboratories,USD,US0028241000,0.01,NYSE,1:30 pm to 8:00 pm
ABUS,Arbutus Biopharma Corporation,USD,CA03879J1003,0.1,NASDAQ,1:30 pm to 8:00 pm
AC,"Associated Capital Group, Inc.",USD,US0455281065,1,NYSE,1:30 pm to 8:00 pm
AC,Accor SA,EUR,FR0000120404,0.01,Euronext Paris,7:00 am to 3:30 pm
ACA,Credit Agricole SA,EUR,FR0000045072,0.2,Euronext Paris,7:00 am to 3:30 pm
ACAD,"Acadia Pharmaceuticals, Inc.",USD,US0042251084,0.01,NASDAQ,1:30 pm to 8:00 pm
ACB,Aurora Cannabis Inc,USD,CA05156X8843,0.1,NYSE,1:30 pm to 8:00 pm
ACC,"American Campus Communities, Inc.",USD,US0248351001,1,NYSE,1:30 pm to 8:00 pm
ACCD,"Accolade, Inc.",USD,US00437E1029,0.01,NASDAQ,1:30 pm to 8:00 pm
ACCEL,Accell Group,EUR,NL0009767532,0.1,Euronext Netherlands,7:00 am to 3:30 pm
ACCO,Acco Brands Corporation,USD,US00081T1088,1,NYSE,1:30 pm to 8:00 pm
ACEV,Ace Convergence Acquisition Corp.,USD,KYG0083D1209,1,NASDAQ,1:30 pm to 8:00 pm
ACGL,Arch Capital Group Ltd.,USD,BMG0450A1053,1,NYSE,1:30 pm to 8:00 pm
ACHC,"Acadia Healthcare Company, Inc.",USD,US00404A1097,1,NASDAQ,1:30 pm to 8:00 pm
ACHV,"Achieve Life Sciences, Inc.",USD,US0044685008,1,NASDAQ,1:30 pm to 8:00 pm
ACI,"Albertsons Companies, Inc.",USD,US0130911037,0.01,NYSE,1:30 pm to 8:00 pm
ACIA,"Acacia Communications, Inc.",USD,US00401C1080,2,NASDAQ,1:30 pm to 8:00 pm
ACIU,AC Immune SA,USD,CH0329023102,0.1,NASDAQ,1:30 pm to 8:00 pm
ACIW,"ACI Worldwide, Inc.",USD,US0044981019,2,NASDAQ,1:30 pm to 8:00 pm
ACLS,"Axcelis Technologies, Inc.",USD,US0545402085,2,NASDAQ,1:30 pm to 8:00 pm
ACM,Aecom Technology Corporation,USD,US00766T1007,0.01,NYSE,1:30 pm to 8:00 pm
ACN,Accenture plc,USD,IE00B4BNMY34,0.001,NYSE,1:30 pm to 8:00 pm
ACND,Ascendant Digital Acquisition Corporation,USD,KYG051551094,1,NYSE,1:30 pm to 8:00 pm
ACOMO,Amsterdam Commodities NV,EUR,NL0000313286,0.01,Euronext Netherlands,7:00 am to 3:30 pm
ACOR,Acorda Therapeutics Inc,USD,US00484M1062,1,NASDAQ,1:30 pm to 8:00 pm
ACS,ACS Actividades de Construccion y Servicios SA,EUR,ES0167050915,0.1,Bolsa de Madrid,7:00 am to 3:30 pm
ACTG,Acacia Research Corporation,USD,US0038813079,1,NASDAQ,1:30 pm to 8:00 pm
ACWD,SPDR MSCI ACWI USD UCITS ETF USD (Acc),USD,IE00B44Z5B48,1,London Stock Exchange,7:01 am to 3:30 pm
ACX,bet-at-home.com AG,EUR,DE000A0DNAY5,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
ACX,Acerinox,EUR,ES0132105018,0.1,Bolsa de Madrid,7:00 am to 3:30 pm
AD,Koninklijke Ahold Delhaize NV,EUR,NL0011794037,0.01,Euronext Netherlands,7:00 am to 3:30 pm
ADBE,"Adobe Systems, Inc.",USD,US00724F1012,0.001,NASDAQ,1:30 pm to 8:00 pm
ADC,Agree Realty Corporation,USD,US0084921008,0.01,NYSE,1:30 pm to 8:00 pm
ADEN,Adecco Group AG Class N,CHF,CH0012138605,0.01,SIX Swiss,7:00 am to 3:30 pm
ADES,"Advanced Emissions Solutions, Inc.",USD,US00770C1018,0.1,NASDAQ,1:30 pm to 8:00 pm
ADI,Analog Devices Inc.,USD,US0326541051,0.01,NASDAQ,1:30 pm to 8:00 pm
ADJ,ADO Properties SA,EUR,LU1250154413,2,Deutsche Börse Xetra,7:00 am to 3:30 pm
ADL,ADLER Real Estate AG,EUR,DE0005008007,5,Deutsche Börse Xetra,7:00 am to 3:30 pm
ADM,Admiral Group PLC,GBX,GB00B02J6398,0.01,London Stock Exchange,7:01 am to 3:30 pm
ADM,Archer-Daniels-Midland Co.,USD,US0394831020,0.01,NYSE,1:30 pm to 8:00 pm
ADMA,"ADMA Biologics, Inc.",USD,US0008991046,0.1,NASDAQ,1:30 pm to 8:00 pm
ADMP,Adamis Pharmaceuticals Corporation,USD,US00547W2089,1,NASDAQ,1:30 pm to 8:00 pm
ADNT,Adient plc,USD,IE00BD845X29,2,NYSE,1:30 pm to 8:00 pm
ADP,"Automatic Data Processing, Inc.",USD,US0530151036,0.1,NYSE,1:30 pm to 8:00 pm
ADPT,Adaptive Biotechnologies Corp.,USD,US00650F1093,0.01,NASDAQ,1:30 pm to 8:00 pm
ADS,Alliance Data Systems Corp.,USD,US0185811082,0.01,NYSE,1:30 pm to 8:00 pm
ADS,Adidas AG,EUR,DE000A1EWWW0,0.001,Deutsche Börse Xetra,7:00 am to 3:30 pm
ADSK,Autodesk Inc.,USD,US0527691069,0.001,NASDAQ,1:30 pm to 8:00 pm
ADSW,"Advanced Disposal Services, Inc.",USD,US00790X1019,1,NYSE,1:30 pm to 8:00 pm
ADT,ADT Inc.,USD,US00090Q1031,0.1,NYSE,1:30 pm to 8:00 pm
ADTN,"ADTRAN, Inc.",USD,US00738A1060,1,NASDAQ,1:30 pm to 8:00 pm
ADTX,"Aditx Therapeutics, Inc.",USD,US0070251097,0.1,NASDAQ,1:30 pm to 8:00 pm
ADUS,Addus HomeCare Corporation,USD,US0067391062,1,NASDAQ,1:30 pm to 8:00 pm
ADV,ADVA Optical Networking SE,EUR,DE0005103006,2,Deutsche Börse Xetra,7:00 am to 3:30 pm
ADVM,"Adverum Biotechnologies, Inc.",USD,US00773U1088,0.1,NASDAQ,1:30 pm to 8:00 pm
ADYEN,Adyen NV,EUR,NL0012969182,0.001,Euronext Netherlands,7:00 am to 3:30 pm
AEE,Ameren Corp.,USD,US0236081024,2,NYSE,1:30 pm to 8:00 pm
AEIS,"Advanced Energy Industries, Inc.",USD,US0079731008,1,NASDAQ,1:30 pm to 8:00 pm
AEM,Agnico Eagle Mines Limited,USD,CA0084741085,0.01,NYSE,1:30 pm to 8:00 pm
AENA,Aena SME SA,EUR,ES0105046009,0.01,Bolsa de Madrid,7:00 am to 3:30 pm
AEP,American Electric Power,USD,US0255371017,2,NYSE,1:30 pm to 8:00 pm
AER,AerCap Holdings NV,USD,NL0000687663,0.01,NYSE,1:30 pm to 8:00 pm
AERI,Aerie Pharmace,USD,US00771V1089,1,NASDAQ,1:30 pm to 8:00 pm
AES,AES Corp.,USD,US00130H1059,0.01,NYSE,1:30 pm to 8:00 pm
AEXG,AEX Gold Inc.,GBX,CA00108V1022,1,LSE AIM,7:00 am to 3:45 pm
AEY,"ADDvantage Technologies Group, Inc.",USD,US0067433062,1,NASDAQ,1:30 pm to 8:00 pm
AEYE,"AudioEye, Inc.",USD,US0507342014,0.1,NASDAQ,1:30 pm to 8:00 pm
AF,Air France - KLM SA,EUR,FR0000031122,0.1,Euronext Paris,7:00 am to 3:30 pm
AFC,AFC Energy Plc,GBX,GB00B18S7B29,1,LSE AIM,7:01 am to 3:30 pm
AFHP,AFH Financial Group plc,GBX,GB00B4W5WQ08,1,LSE AIM,7:00 am to 3:45 pm
AFIB,"Acutus Medical, Inc.",USD,US0051111096,1,NASDAQ,1:30 pm to 8:00 pm
AFIN,American Financial TRS Inc Class A,USD,US02607T1097,1,NASDAQ,1:30 pm to 8:00 pm
AFL,AFLAC Inc.,USD,US0010551028,0.01,NYSE,1:30 pm to 8:00 pm
AFX,Alpha FX Group plc,GBX,GB00BF1TM596,0.2,LSE AIM,7:00 am to 3:45 pm
AFX,Carl Zeiss Meditec AG,EUR,DE0005313704,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
AG,First Majestic Silver Corp.,USD,CA32076V1031,0.1,NYSE,1:30 pm to 8:00 pm
AGBA,Agba Acquisition Ltd,USD,VGG0120M1095,1,NASDAQ,1:30 pm to 8:00 pm
AGBP,iShares Core Global Aggregate Bond UCITS ETF,GBP,IE00BF540Y54,0.1,London Stock Exchange,7:01 am to 3:30 pm
AGE,"AgeX Therapeutics, Inc.",USD,US00848H1086,0.1,NYSE,1:30 pm to 8:00 pm
AGED,iShares Ageing Population UCITS ETF - Acc,USD,IE00BYZK4669,1,London Stock Exchange,7:01 am to 3:30 pm
AGEN,"Agenus, Inc.",USD,US00847G7051,0.1,NASDAQ,1:30 pm to 8:00 pm
AGES,iShares Ageing Population UCITS ETF,GBX,IE00BYZK4669,1,London Stock Exchange,7:01 am to 3:30 pm
AGIO,Agios Pharm,USD,US00847X1046,1,NASDAQ,1:30 pm to 8:00 pm
AGK,Aggreko PLC,GBX,GB00BK1PTB77,0.1,London Stock Exchange,7:01 am to 3:30 pm
AGM,Applied Graphene Materials plc,GBX,GB00BFSSB742,1,LSE AIM,7:00 am to 3:45 pm
AGMH,AGM Group Holdings Inc Class A,USD,VGG0132V1058,1,NASDAQ,1:30 pm to 8:00 pm
AGN,Aegon NV,EUR,NL0000303709,0.1,Euronext Netherlands,7:00 am to 3:30 pm
AGNC,AGNC Investment Corp,USD,US00123Q1040,0.01,NASDAQ,1:30 pm to 8:00 pm
AGO,Assured Guaranty Ltd.,USD,BMG0585R1060,1,NYSE,1:30 pm to 8:00 pm
AGR,"Avangrid, Inc.",USD,US05351W1036,1,NYSE,1:30 pm to 8:00 pm
AGR,Assura PLC,GBX,GB00BVGBWW93,1,London Stock Exchange,7:01 am to 3:30 pm
AGRX,"Agile Therapeutics, Inc.",USD,US00847L1008,0.1,NASDAQ,1:30 pm to 8:00 pm
AGT,AVI Global Trust PLC,GBX,GB0001335081,2,London Stock Exchange,7:01 am to 3:30 pm
AGX,"Argan, Inc.",USD,US04010E1091,1,NYSE,1:30 pm to 8:00 pm
AGYS,"Agilysys, Inc.",USD,US00847J1051,2,NASDAQ,1:30 pm to 8:00 pm
AHCO,AdaptHealth Corp.,USD,US00653Q1022,1,NASDAQ,1:30 pm to 8:00 pm
AHPI,"Allied Healthcare Products, Inc.",USD,US0192222075,0.01,NASDAQ,1:30 pm to 8:00 pm
AHT,"Ashford Hospitality Trust, Inc.",USD,US0441038777,0.1,NYSE,1:30 pm to 8:00 pm
AHT,Ashtead Group PLC,GBX,GB0000536739,0.01,London Stock Exchange,7:01 am to 3:30 pm
AI,Arlington Asset Investment Corp.,USD,US0413562051,1,NYSE,1:30 pm to 8:00 pm
AI,Air Liquide SA,EUR,FR0000120073,0.001,Euronext Paris,7:00 am to 3:30 pm
AIG,"AIG, Inc.",USD,US0268747849,0.01,NYSE,1:30 pm to 8:00 pm
AIKI,Aikido Pharma Inc.,USD,US0088751062,1,NASDAQ,1:30 pm to 8:00 pm
AIMT,Aimmune Therapeutics Inc,USD,US00900T1079,0.1,NASDAQ,1:30 pm to 8:00 pm
AIR,Airbus Group SE,EUR,NL0000235190,0.001,Euronext Paris,7:00 am to 3:30 pm
AIR,Airbus SE,EUR,NL0000235190,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
AIR,AAR Corporation,USD,US0003611052,0.01,NYSE,1:30 pm to 8:00 pm
AIRG,"Airgain, Inc.",USD,US00938A1043,2,NASDAQ,1:30 pm to 8:00 pm
AIV,Apartment Investment and Management Company,USD,US03748R7540,1,NYSE,1:30 pm to 8:00 pm
AIXA,AIXTRON SE,EUR,DE000A0WMPJ6,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
AIZ,Assurant Inc.,USD,US04621X1081,0.001,NYSE,1:30 pm to 8:00 pm
AJG,Arthur J. Gallagher & Co.,USD,US3635761097,1,NYSE,1:30 pm to 8:00 pm
AJX,Great Ajax Corporation,USD,US38983D3008,1,NYSE,1:30 pm to 8:00 pm
AKAM,Akamai Technologies Inc.,USD,US00971T1016,0.01,NASDAQ,1:30 pm to 8:00 pm
AKBA,"Akebia Therapeutics, Inc.",USD,US00972D1054,0.1,NASDAQ,1:30 pm to 8:00 pm
AKCA,Akcea Therapeutics Inc,USD,US00972L1070,0.1,NASDAQ,1:30 pm to 8:00 pm
AKRO,"Akero Therapeutics, Inc.",USD,US00973Y1082,1,NASDAQ,1:30 pm to 8:00 pm
AKTS,Akoustis Technologies Inc,USD,US00973N1028,0.1,NASDAQ,1:30 pm to 8:00 pm
AKUS,"Akouos, Inc.",USD,US00973J1016,1,NASDAQ,1:30 pm to 8:00 pm
AKZA,Akzo Nobel NV,EUR,NL0013267909,0.01,Euronext Netherlands,7:00 am to 3:30 pm
AL,Air Lease Corporation,USD,US00912X3026,0.01,NYSE,1:30 pm to 8:00 pm
ALAC,Alberton Acquisition Corporation,USD,VGG350061088,1,NASDAQ,1:30 pm to 8:00 pm
ALB,Albemarle Corporation,USD,US0126531013,0.01,NYSE,1:30 pm to 8:00 pm
ALBA,Alba Mineral Resources plc,GBX,GB00B06KBB18,1,LSE AIM,7:00 am to 3:45 pm
ALBO,"Albireo Pharma, Inc.",USD,US01345P1066,1,NASDAQ,1:30 pm to 8:00 pm
ALC,Alcon AG,USD,CH0432492467,2,NYSE,1:30 pm to 8:00 pm
ALC,Alcon AG,CHF,CH0432492467,0.02,SIX Swiss,7:00 am to 3:30 pm
ALE,"Allete, Inc.",USD,US0185223007,1,NYSE,1:30 pm to 8:00 pm
